layer,feature,feature_id,graph_count,form_count,forms,families
23,14133,L23_F14133,1,1,explicit,addition
23,14403,L23_F14403,1,1,explicit,addition
23,14623,L23_F14623,1,1,applied,subtraction
23,16171,L23_F16171,1,1,explicit,addition
24,782,L24_F782,1,1,applied,multiplication
24,921,L24_F921,1,1,applied,subtraction
24,5778,L24_F5778,1,1,explicit,addition
24,7521,L24_F7521,1,1,explicit,addition
24,7805,L24_F7805,1,1,applied,subtraction
24,9624,L24_F9624,1,1,explicit,addition
24,10877,L24_F10877,1,1,explicit,addition
24,11752,L24_F11752,1,1,explicit,addition
24,11880,L24_F11880,1,1,explicit,addition
24,12434,L24_F12434,1,1,explicit,addition
24,15271,L24_F15271,1,1,implicit,addition
24,16252,L24_F16252,1,1,explicit,addition
25,475,L25_F475,1,1,applied,subtraction
25,731,L25_F731,1,1,applied,multiplication
25,1214,L25_F1214,1,1,explicit,addition
25,4752,L25_F4752,1,1,explicit,subtraction
25,4882,L25_F4882,1,1,applied,multiplication
25,6593,L25_F6593,1,1,explicit,addition
25,8403,L25_F8403,1,1,explicit,addition
25,9521,L25_F9521,1,1,applied,multiplication
25,12772,L25_F12772,1,1,applied,subtraction
25,15532,L25_F15532,1,1,explicit,addition
25,15581,L25_F15581,1,1,explicit,addition
